UserID,email,name,joindate,type,reputation,password
JD!,jd@email.com,Jane Doe,2015-12-21,blog,,pword
js,js@email.com,John Smith,2018-01-21,online,2,pword
jdoedoe,jdoe@email.com,John Doe,2019-11-28,food critic,3,pword
boopSmith,boop@email.com,Jane Smith,2014-02-21,online,1,pword
blakey,BL@email.com,Blake Lively,2015-11-10,food critic,5,pword
iambatman,iam@email.com,Batman,2015-12-21,blog,4,pword
disney,mm@email.com,Mickey Mouse,2015-08-29,food critic,5,pword
ed,eb@email.com,Eddie Bower,2016-02-17,blog,2,pword
kat45,kd@email.com,Kathryn D.,2015-09-18,blog,3,pword
woof,pluto@email.com,Pluto,2015-05-04,online,1,pword
joee,joe@email.com,Joe Joe,2017-01-14,blog,3,pword
bob,bob@email.com,Bob ,2016-05-14,food critic,,pword
dr.phil,phil@email.com,Dr. Phil,2017-11-02,online,5,pword
thor,thor@email.com,Thor,2018-03-03,food critic,4,pword
voldy,hp@email.com,Harry Potter,2017-01-25,blog,2,pword
